"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1007.7","1010.0","1009.8","2021-10-01 22:49","1006.1","2021-10-01 14:58","28.1","32.1","2021-10-01 14:50","25.1","2021-10-01 05:46","24.0","79","60","2021-10-01 14:22","0.9","100","5.7","10","2021-10-01 15:18","0.0","0.0","0.0","...","0.0","...","6.4","54.3","17.27","...","...","...","...","..."
"02","1009.9","1012.2","1011.4","2021-10-02 08:46","1008.4","2021-10-02 14:53","28.5","33.4","2021-10-02 13:53","24.6","2021-10-02 04:46","22.5","71","57","2021-10-02 13:34","1.6","120","11.9","120","2021-10-02 19:50","0.0","0.0","0.0","...","0.0","...","8.7","73.9","19.69","...","...","...","...","..."
"03","1011.0","1013.3","1012.6","2021-10-03 23:01","1009.1","2021-10-03 15:00","29.4","35.3","2021-10-03 13:31","25.0","2021-10-03 06:00","20.2","59","29","2021-10-03 13:34","2.3","140","15.3","190","2021-10-03 16:20","0.0","0.0","0.0","...","0.0","...","10.0","85.1","23.10","...","...","...","...","..."
"04","1011.5","1013.8","1013.1","2021-10-04 22:14","1010.2","2021-10-04 14:28","29.9","34.0","2021-10-04 11:51","27.2","2021-10-04 02:31","22.1","63","47","2021-10-04 14:42","1.8","120","11.7","110","2021-10-04 14:03","0.0","0.0","0.0","...","0.0","...","9.9","84.5","22.43","...","...","...","...","..."
"05","1010.8","1013.1","1012.5","2021-10-05 00:01","1008.9","2021-10-05 14:18","29.1","32.9","2021-10-05 13:47","26.2","2021-10-05 05:56","21.7","65","50","2021-10-05 12:45","1.8","120","11.2","150","2021-10-05 14:56","0.0","0.0","0.0","...","0.0","...","8.4","71.8","19.57","...","...","...","...","..."
"06","1007.5","1009.8","1010.7","2021-10-06 00:01","1005.0","2021-10-06 14:23","29.5","32.9","2021-10-06 13:41","27.0","2021-10-06 04:23","22.7","67","55","2021-10-06 13:43","2.8","140","14.9","120","2021-10-06 14:01","0.0","0.0","0.0","...","0.0","...","9.8","84.0","22.44","...","...","...","...","..."
"07","1006.0","1008.2","1008.0","2021-10-07 08:50","1004.2","2021-10-07 15:36","30.2","34.6","2021-10-07 12:15","27.3","2021-10-07 06:14","22.2","63","50","2021-10-07 12:15","2.6","130","15.0","110","2021-10-07 02:31","T","0.1","T","2021-10-07 15:01","T","2021-10-07 15:01","9.1","78.1","20.69","...","...","...","...","..."
"08","1006.9","1009.2","1008.9","2021-10-08 21:13","1005.4","2021-10-08 14:29","29.7","33.1","2021-10-08 14:11","28.0","2021-10-08 07:13","22.2","64","56","2021-10-08 11:13","2.5","120","14.6","110","2021-10-08 13:56","0.0","0.0","0.0","...","0.0","...","4.0","34.4","13.98","...","...","...","...","..."
"09","1008.7","1011.0","1009.9","2021-10-09 08:45","1007.1","2021-10-09 14:09","29.5","33.5","2021-10-09 13:05","27.2","2021-10-09 22:00","22.1","65","50","2021-10-09 13:13","2.0","120","12.2","100","2021-10-09 10:12","0.0","0.0","0.0","...","0.0","...","9.8","84.5","20.69","...","...","...","...","..."
"10","1007.5","1009.8","1009.3","2021-10-10 00:01","1005.6","2021-10-10 14:21","29.2","33.3","2021-10-10 13:19","25.4","2021-10-10 22:06","22.6","69","50","2021-10-10 14:28","1.6","130","10.5","80","2021-10-10 09:59","3.5","2.0","2.5","2021-10-10 21:47","3.0","2021-10-10 21:47","9.5","82.1","20.48","...","...","...","...","..."
"11","1003.5","1005.8","1007.2","2021-10-11 00:03","1000.5","2021-10-11 23:51","26.4","27.6","2021-10-11 11:56","25.0","2021-10-11 23:43","25.1","93","83","2021-10-11 19:55","2.4","40","16.6","110","2021-10-11 18:00","137.0","13.8","11.5","2021-10-11 22:21","24.5","2021-10-11 22:23","0.1","0.9","6.09","...","...","...","...","..."
"12","1002.0","1004.3","1005.4","2021-10-12 22:24","998.6","2021-10-12 03:36","28.8","31.2","2021-10-12 12:50","25.0","2021-10-12 00:03","24.5","78","67","2021-10-12 14:23","2.4","120","16.8","80","2021-10-12 04:46","22.0","3.7","7.5","2021-10-12 10:44","10.5","2021-10-12 01:17","2.6","22.6","12.36","...","...","...","...","..."
"13","1006.3","1008.6","1008.9","2021-10-13 21:56","1004.2","2021-10-13 04:09","28.1","30.3","2021-10-13 12:39","25.4","2021-10-13 23:42","24.3","80","70","2021-10-13 12:41","2.5","140","14.9","150","2021-10-13 14:58","1.0","1.4","0.5","2021-10-13 09:21","0.5","2021-10-13 09:21","0.4","3.5","7.92","...","...","...","...","..."
"14","1008.6","1010.9","1010.2","2021-10-14 22:02","1006.5","2021-10-14 03:58","28.1","30.4","2021-10-14 12:30","25.5","2021-10-14 00:01","23.3","75","69","2021-10-14 13:01","1.9","120","11.0","130","2021-10-14 17:54","T","0.4","T","2021-10-14 00:01","T","2021-10-14 00:01","0.7","6.1","10.57","...","...","...","...","..."
"15","1009.0","1011.3","1010.3","2021-10-15 08:32","1007.4","2021-10-15 14:34","28.4","31.4","2021-10-15 11:47","25.6","2021-10-15 05:16","21.1","65","52","2021-10-15 11:07","1.9","120","12.4","140","2021-10-15 12:28","0.0","0.0","0.0","...","0.0","...","10.1","88.2","20.65","...","...","...","...","..."
"16","1012.9","1015.2","1018.1","2021-10-16 22:39","1009.6","2021-10-16 02:43","26.5","32.0","2021-10-16 11:32","21.2","2021-10-16 23:58","21.9","77","56","2021-10-16 12:17","2.6","30","17.9","60","2021-10-16 21:36","28.5","3.7","8.0","2021-10-16 16:34","11.5","2021-10-16 16:32","7.7","67.4","19.48","...","...","...","...","..."
"17","1019.4","1021.8","1021.1","2021-10-17 09:33","1017.8","2021-10-17 00:05","20.5","21.8","2021-10-17 15:39","19.4","2021-10-17 20:23","17.7","84","72","2021-10-17 15:16","2.6","30","16.7","360","2021-10-17 00:06","9.5","9.6","1.0","2021-10-17 00:39","3.0","2021-10-17 00:25","0.0","0.0","5.96","...","...","...","...","..."
"18","1017.1","1019.4","1018.6","2021-10-18 09:00","1015.4","2021-10-18 14:21","21.8","25.3","2021-10-18 12:01","19.2","2021-10-18 02:34","17.8","78","59","2021-10-18 12:16","1.1","20","7.2","50","2021-10-18 04:42","0.0","0.0","0.0","...","0.0","...","0.5","4.4","8.96","...","...","...","...","..."
"19","1016.7","1019.1","1018.4","2021-10-19 08:22","1014.8","2021-10-19 14:23","23.1","26.8","2021-10-19 13:20","20.1","2021-10-19 03:15","19.0","78","63","2021-10-19 13:21","1.7","20","8.3","10","2021-10-19 15:47","0.0","0.0","0.0","...","0.0","...","2.7","23.8","11.87","...","...","...","...","..."
"20","1014.4","1016.7","1016.8","2021-10-20 00:01","1012.3","2021-10-20 13:54","23.8","27.7","2021-10-20 13:39","21.9","2021-10-20 05:56","20.8","83","71","2021-10-20 13:25","1.2","20","6.6","10","2021-10-20 02:51","T","0.1","T","2021-10-20 17:27","T","2021-10-20 17:27","1.3","11.5","11.21","...","...","...","...","..."
