"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","970.4","...","972.6","2021-03-01 08:51","968.2","2021-03-01 16:11","18.5","25.0","2021-03-01 13:01","13.6","2021-03-01 03:31","...","90","63","2021-03-01 13:01","0.1","113","3.3","270","2021-03-01 10:59","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","974.9","...","978.1","2021-03-02 21:21","970.0","2021-03-02 01:01","13.5","17.5","2021-03-02 00:11","11.2","2021-03-02 21:12","...","99","91","2021-03-02 06:03","0.3","100","8.2","352","2021-03-02 05:33","5.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","974.7","...","977.4","2021-03-03 00:01","972.7","2021-03-03 15:41","14.1","16.8","2021-03-03 23:02","11.3","2021-03-03 01:01","...","95","84","2021-03-03 23:41","0.5","109","4.9","127","2021-03-03 20:37","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","972.9","...","974.3","2021-03-04 09:30","970.3","2021-03-04 14:33","17.3","25.7","2021-03-04 14:01","13.9","2021-03-04 06:51","...","91","58","2021-03-04 14:01","0.0","0","4.9","92","2021-03-04 00:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","972.0","...","974.1","2021-03-05 00:01","970.2","2021-03-05 15:11","17.1","19.9","2021-03-05 22:05","14.7","2021-03-05 05:23","...","97","83","2021-03-05 22:05","0.9","135","7.7","107","2021-03-05 22:05","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","971.9","...","974.3","2021-03-06 09:31","969.7","2021-03-06 03:41","17.2","22.2","2021-03-06 13:01","15.6","2021-03-06 05:11","...","96","71","2021-03-06 12:52","0.1","224","6.6","292","2021-03-06 09:17","15.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","974.0","...","976.0","2021-03-07 22:31","972.2","2021-03-07 03:21","15.6","17.0","2021-03-07 11:01","15.0","2021-03-07 23:51","...","100","99","2021-03-07 16:11","0.0","0","1.3","335","2021-03-07 01:34","11.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","974.8","...","976.5","2021-03-08 10:11","973.0","2021-03-08 15:31","15.4","15.9","2021-03-08 10:07","14.7","2021-03-08 01:21","...","100","96","2021-03-08 17:21","0.1","65","3.8","73","2021-03-08 13:23","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","974.8","...","976.9","2021-03-09 23:01","973.0","2021-03-09 03:05","17.0","20.3","2021-03-09 13:12","15.2","2021-03-09 01:31","...","97","84","2021-03-09 13:16","0.1","82","4.1","75","2021-03-09 02:22","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","976.3","...","978.3","2021-03-10 08:51","974.6","2021-03-10 15:11","15.8","17.1","2021-03-10 12:41","14.5","2021-03-10 07:17","...","99","93","2021-03-10 13:20","0.2","82","3.8","73","2021-03-10 20:21","4.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","974.2","...","976.3","2021-03-11 00:01","972.1","2021-03-11 15:51","18.7","23.5","2021-03-11 12:58","16.1","2021-03-11 00:01","...","92","70","2021-03-11 10:24","0.6","131","8.8","131","2021-03-11 08:09","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","974.2","...","976.0","2021-03-12 22:31","972.6","2021-03-12 03:11","17.2","25.8","2021-03-12 10:51","14.7","2021-03-12 04:41","...","93","57","2021-03-12 10:51","0.3","358","4.9","76","2021-03-12 11:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
