"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1020.8","...","1023.1","2022-04-01 21:34","1018.7","2022-04-01 03:02","16.5","18.2","2022-04-01 11:11","14.7","2022-04-01 19:03","...","67","61","2022-04-01 15:00","2.5","128","17.7","12","2022-04-01 00:32","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1020.7","...","1022.1","2022-04-02 01:06","1017.8","2022-04-02 15:51","14.9","15.8","2022-04-02 14:11","12.9","2022-04-02 22:11","...","78","63","2022-04-02 00:41","1.6","15","9.1","6","2022-04-02 11:02","18.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1020.9","...","1022.5","2022-04-03 10:21","1018.6","2022-04-03 04:12","15.6","17.7","2022-04-03 15:22","12.8","2022-04-03 04:12","...","71","59","2022-04-03 15:24","1.9","92","9.1","144","2022-04-03 14:57","9.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1019.9","...","1021.5","2022-04-04 09:11","1018.7","2022-04-04 15:51","19.7","22.9","2022-04-04 13:31","16.2","2022-04-04 00:02","...","59","53","2022-04-04 11:51","3.1","122","13.6","119","2022-04-04 09:05","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1016.3","...","1019.1","2022-04-05 00:01","1013.1","2022-04-05 15:41","22.7","28.5","2022-04-05 13:03","19.7","2022-04-05 00:02","...","61","40","2022-04-05 13:01","2.0","87","7.3","136","2022-04-05 16:59","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1014.3","...","1016.2","2022-04-06 08:46","1013.0","2022-04-06 02:51","21.8","27.5","2022-04-06 11:01","17.3","2022-04-06 05:51","...","66","45","2022-04-06 11:01","1.8","32","12.0","127","2022-04-06 13:31","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1014.1","...","1015.6","2022-04-07 09:43","1012.7","2022-04-07 03:01","21.6","24.3","2022-04-07 11:34","19.3","2022-04-07 05:21","...","67","56","2022-04-07 12:18","1.8","95","12.2","129","2022-04-07 11:14","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1012.9","...","1014.8","2022-04-08 09:23","1011.2","2022-04-08 16:01","22.4","25.1","2022-04-08 11:14","21.3","2022-04-08 09:31","...","62","55","2022-04-08 16:02","2.8","87","11.9","105","2022-04-08 08:38","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1010.3","...","1012.1","2022-04-09 00:12","1008.3","2022-04-09 14:42","24.3","29.2","2022-04-09 12:31","21.6","2022-04-09 04:31","...","59","44","2022-04-09 12:31","2.2","81","8.0","18","2022-04-09 15:56","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
