"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1021.2","...","1023.2","2022-04-01 21:32","1019.2","2022-04-01 03:41","16.3","17.5","2022-04-01 06:17","14.9","2022-04-01 22:21","...","82","70","2022-04-01 21:22","2.0","87","10.4","60","2022-04-01 16:29","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1020.9","...","1022.3","2022-04-02 00:01","1018.0","2022-04-02 17:56","14.8","16.2","2022-04-02 00:21","12.6","2022-04-02 20:32","...","95","68","2022-04-02 00:23","1.2","78","6.6","45","2022-04-02 01:58","20.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1021.1","...","1022.4","2022-04-03 10:12","1018.2","2022-04-03 02:37","15.6","17.4","2022-04-03 11:53","11.9","2022-04-03 05:57","...","83","68","2022-04-03 16:02","1.1","86","8.8","49","2022-04-03 10:50","10.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1020.1","...","1022.0","2022-04-04 08:31","1018.9","2022-04-04 17:41","19.4","24.0","2022-04-04 09:35","16.7","2022-04-04 00:11","...","66","58","2022-04-04 11:43","2.2","89","11.5","68","2022-04-04 13:44","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1016.1","...","1019.2","2022-04-05 00:01","1012.9","2022-04-05 15:51","22.7","28.6","2022-04-05 12:21","19.4","2022-04-05 05:55","...","66","46","2022-04-05 12:32","1.3","86","7.7","77","2022-04-05 15:54","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1014.2","...","1016.1","2022-04-06 09:35","1012.6","2022-04-06 12:21","22.0","30.9","2022-04-06 11:52","18.4","2022-04-06 06:11","...","72","51","2022-04-06 11:31","1.3","137","11.0","55","2022-04-06 13:11","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1014.1","...","1015.7","2022-04-07 10:04","1012.6","2022-04-07 03:11","21.3","27.9","2022-04-07 10:54","19.6","2022-04-07 07:01","...","79","61","2022-04-07 13:41","1.3","112","8.2","94","2022-04-07 12:16","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1013.0","...","1014.7","2022-04-08 09:01","1011.2","2022-04-08 15:42","22.1","25.9","2022-04-08 14:44","20.3","2022-04-08 04:31","...","71","59","2022-04-08 16:11","2.1","104","9.9","95","2022-04-08 13:30","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1010.1","...","1012.2","2022-04-09 07:31","1007.5","2022-04-09 13:54","24.5","32.5","2022-04-09 12:12","20.7","2022-04-09 05:51","...","61","41","2022-04-09 12:31","1.6","85","7.7","49","2022-04-09 15:31","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1008.7","...","1011.0","2022-04-10 10:01","1006.6","2022-04-10 15:31","26.1","34.7","2022-04-10 12:21","21.0","2022-04-10 05:11","...","64","22","2022-04-10 10:41","0.8","85","6.0","99","2022-04-10 23:34","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1007.0","...","1010.1","2022-04-11 09:51","1005.0","2022-04-11 15:14","26.5","33.9","2022-04-11 12:35","23.7","2022-04-11 05:51","...","69","39","2022-04-11 13:01","0.6","121","5.5","107","2022-04-11 15:37","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1005.2","...","1007.8","2022-04-12 09:21","1003.1","2022-04-12 16:11","27.0","36.1","2022-04-12 11:44","23.4","2022-04-12 05:21","...","65","34","2022-04-12 14:52","0.6","215","5.5","340","2022-04-12 15:15","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1003.2","...","1005.1","2022-04-13 09:11","1000.9","2022-04-13 12:42","26.6","35.2","2022-04-13 11:52","23.9","2022-04-13 06:11","...","70","42","2022-04-13 12:51","0.6","82","5.5","316","2022-04-13 13:44","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1006.2","...","1011.2","2022-04-14 23:13","1001.9","2022-04-14 06:32","22.4","24.7","2022-04-14 01:21","19.5","2022-04-14 23:51","...","86","74","2022-04-14 17:26","1.0","22","6.6","243","2022-04-14 07:21","41.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1011.6","...","1014.4","2022-04-15 21:35","1009.5","2022-04-15 03:21","19.0","20.9","2022-04-15 09:43","17.5","2022-04-15 22:21","...","96","88","2022-04-15 23:52","0.8","75","7.7","92","2022-04-15 19:01","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1013.2","...","1015.7","2022-04-16 21:45","1011.2","2022-04-16 11:31","19.1","24.3","2022-04-16 10:13","17.6","2022-04-16 02:43","...","67","55","2022-04-16 11:41","1.8","78","11.0","65","2022-04-16 09:14","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1014.1","...","1015.5","2022-04-17 08:34","1012.6","2022-04-17 16:51","18.5","20.1","2022-04-17 11:22","15.9","2022-04-17 04:02","...","76","61","2022-04-17 00:01","1.4","109","7.1","62","2022-04-17 12:28","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1013.9","...","1016.4","2022-04-18 21:46","1012.0","2022-04-18 01:51","19.7","22.0","2022-04-18 09:02","18.1","2022-04-18 19:58","...","84","75","2022-04-18 12:33","1.2","107","7.1","80","2022-04-18 00:27","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1015.5","...","1016.9","2022-04-19 08:01","1014.2","2022-04-19 16:31","17.4","18.7","2022-04-19 00:31","16.2","2022-04-19 23:41","...","85","69","2022-04-19 23:51","1.3","82","6.6","80","2022-04-19 22:11","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1012.3","...","1016.0","2022-04-20 00:01","1009.8","2022-04-20 15:11","19.5","25.3","2022-04-20 12:41","15.5","2022-04-20 07:12","...","82","63","2022-04-20 02:21","1.2","83","11.5","72","2022-04-20 10:43","3.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1010.5","...","1012.8","2022-04-21 09:34","1006.3","2022-04-21 16:11","22.2","28.6","2022-04-21 16:21","18.0","2022-04-21 01:21","...","93","65","2022-04-21 17:11","0.2","79","3.0","110","2022-04-21 13:03","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1009.4","...","1011.7","2022-04-22 09:04","1005.3","2022-04-22 15:41","25.9","35.4","2022-04-22 12:31","19.1","2022-04-22 05:11","...","79","46","2022-04-22 12:41","0.6","229","5.5","75","2022-04-22 12:58","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1007.3","...","1009.2","2022-04-23 00:01","1002.9","2022-04-23 15:42","26.8","32.9","2022-04-23 14:01","22.6","2022-04-23 02:51","...","85","54","2022-04-23 14:03","0.7","81","6.0","308","2022-04-23 11:07","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1006.4","...","1008.1","2022-04-24 10:12","1002.9","2022-04-24 16:21","26.8","33.7","2022-04-24 10:42","22.5","2022-04-24 03:51","...","90","61","2022-04-24 11:41","0.6","83","8.2","71","2022-04-24 13:11","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1005.9","...","1007.6","2022-04-25 08:45","1002.4","2022-04-25 15:41","27.0","32.7","2022-04-25 12:41","23.5","2022-04-25 03:02","...","89","60","2022-04-25 11:24","0.5","251","4.9","311","2022-04-25 12:01","9.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","1004.5","...","1006.6","2022-04-26 22:21","1000.3","2022-04-26 15:22","28.2","36.8","2022-04-26 12:32","22.9","2022-04-26 06:01","...","84","49","2022-04-26 12:32","0.7","80","6.6","278","2022-04-26 12:04","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","1007.2","...","1009.8","2022-04-27 21:01","1004.1","2022-04-27 00:01","27.3","32.4","2022-04-27 11:02","24.9","2022-04-27 19:27","...","89","68","2022-04-27 12:03","0.9","89","7.1","275","2022-04-27 11:21","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","1008.3","...","1009.8","2022-04-28 08:31","1006.5","2022-04-28 12:51","26.4","31.0","2022-04-28 13:02","24.4","2022-04-28 00:31","...","93","75","2022-04-28 13:02","1.0","86","6.0","73","2022-04-28 11:39","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","1009.1","...","1013.5","2022-04-29 21:23","1006.2","2022-04-29 02:51","25.0","32.5","2022-04-29 11:33","20.2","2022-04-29 23:32","...","91","69","2022-04-29 10:48","1.5","96","11.5","87","2022-04-29 17:57","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","1011.3","...","1013.3","2022-04-30 22:14","1009.2","2022-04-30 13:57","21.0","23.2","2022-04-30 11:12","20.0","2022-04-30 03:11","...","97","89","2022-04-30 14:31","2.0","88","11.0","74","2022-04-30 12:25","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
