"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1017.4","...","1019.2","2021-12-01 08:21","1014.4","2021-12-01 14:51","15.8","18.5","2021-12-01 11:31","13.5","2021-12-01 06:21","...","50","36","2021-12-01 12:14","1.1","99","8.8","88","2021-12-01 13:48","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1015.2","...","1016.7","2021-12-02 02:31","1012.3","2021-12-02 14:51","16.6","20.6","2021-12-02 11:42","13.1","2021-12-02 23:41","...","61","43","2021-12-02 11:51","0.8","85","5.5","113","2021-12-02 11:57","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1016.6","...","1018.6","2021-12-03 21:41","1013.5","2021-12-03 13:21","15.5","21.1","2021-12-03 14:31","10.4","2021-12-03 06:41","...","57","25","2021-12-03 13:51","1.0","99","7.1","96","2021-12-03 11:31","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1016.9","...","1018.6","2021-12-04 07:42","1014.7","2021-12-04 15:08","17.5","22.0","2021-12-04 13:24","13.7","2021-12-04 02:51","...","46","28","2021-12-04 13:06","1.3","96","9.9","67","2021-12-04 14:34","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1014.7","...","1016.8","2021-12-05 08:33","1012.5","2021-12-05 14:42","18.8","23.8","2021-12-05 13:02","16.6","2021-12-05 04:13","...","75","51","2021-12-05 13:02","1.1","82","7.1","107","2021-12-05 10:55","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1013.7","...","1015.5","2021-12-06 22:38","1012.0","2021-12-06 13:41","19.1","24.1","2021-12-06 13:57","15.9","2021-12-06 05:33","...","87","53","2021-12-06 14:05","0.9","87","7.7","77","2021-12-06 15:10","2.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1016.9","...","...","...","...","...","17.8","...","...","...","...","...","77","...","...","0.9","99","...","...","...","8.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1016.8","...","1018.8","2021-12-08 08:55","1014.5","2021-12-08 14:53","20.1","24.5","2021-12-08 13:41","17.0","2021-12-08 04:33","...","53","32","2021-12-08 15:11","1.5","96","9.9","94","2021-12-08 11:03","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1015.1","...","1016.2","2021-12-09 00:03","1013.7","2021-12-09 12:57","21.4","25.3","2021-12-09 11:46","18.8","2021-12-09 06:22","...","65","50","2021-12-09 15:48","1.5","77","7.7","104","2021-12-09 12:19","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1014.2","...","1016.1","2021-12-10 08:44","1012.2","2021-12-10 14:41","21.9","25.7","2021-12-10 13:41","20.0","2021-12-10 00:24","...","63","45","2021-12-10 13:50","1.5","94","8.8","94","2021-12-10 13:31","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1014.3","...","1016.3","2021-12-11 08:05","1012.2","2021-12-11 13:51","21.2","28.0","2021-12-11 13:42","16.6","2021-12-11 06:34","...","77","35","2021-12-11 13:04","1.1","50","7.1","100","2021-12-11 08:33","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1016.2","...","1018.4","2021-12-12 22:01","1014.1","2021-12-12 01:23","18.4","22.1","2021-12-12 10:53","16.6","2021-12-12 03:05","...","93","72","2021-12-12 11:44","0.8","94","6.0","45","2021-12-12 13:36","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1016.5","...","1018.9","2021-12-13 08:24","1014.4","2021-12-13 14:41","17.7","21.4","2021-12-13 13:02","16.6","2021-12-13 06:41","...","92","64","2021-12-13 13:04","1.6","90","9.9","82","2021-12-14 00:00","3.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1011.8","...","1014.4","2021-12-14 00:01","1009.5","2021-12-14 14:13","20.5","26.8","2021-12-14 13:51","17.2","2021-12-14 00:01","...","76","47","2021-12-14 14:44","2.5","83","11.5","96","2021-12-14 02:33","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1010.4","...","1013.0","2021-12-15 09:35","1007.3","2021-12-15 15:01","20.9","30.2","2021-12-15 14:21","16.5","2021-12-15 05:51","...","81","40","2021-12-15 14:23","0.6","7","4.9","182","2021-12-15 00:55","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1010.6","...","1012.3","2021-12-16 23:32","1008.0","2021-12-16 14:41","21.8","28.6","2021-12-16 14:51","17.0","2021-12-16 06:48","...","79","37","2021-12-16 15:14","0.6","63","6.0","100","2021-12-16 11:33","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1016.3","...","1021.4","2021-12-17 23:13","1012.0","2021-12-17 00:01","17.3","20.0","2021-12-17 00:01","13.9","2021-12-17 23:51","...","89","61","2021-12-17 21:42","0.9","95","8.2","85","2021-12-17 21:34","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
