"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1012.2","...","1014.5","2022-05-01 21:13","1010.2","2022-05-01 02:51","18.4","20.6","2022-05-01 01:02","16.3","2022-05-01 23:03","...","97","85","2022-05-01 15:36","0.6","76","6.6","97","2022-05-01 22:38","11.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1013.2","...","1014.8","2022-05-02 21:44","1011.9","2022-05-02 14:02","16.1","17.3","2022-05-02 12:22","15.0","2022-05-02 03:13","...","97","84","2022-05-02 00:32","1.6","74","9.9","87","2022-05-02 09:44","19.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1013.3","...","1014.2","2022-05-03 09:04","1012.2","2022-05-03 14:25","19.8","22.1","2022-05-03 14:12","16.4","2022-05-03 00:02","...","87","69","2022-05-03 14:31","2.0","77","9.9","86","2022-05-03 16:08","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1010.4","...","1013.0","2022-05-04 00:01","1008.7","2022-05-04 16:01","22.7","25.3","2022-05-04 13:51","19.4","2022-05-04 05:54","...","89","76","2022-05-04 13:14","2.6","61","10.4","37","2022-05-04 10:41","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1008.1","...","1009.4","2022-05-05 00:01","1007.0","2022-05-05 15:13","23.8","26.0","2022-05-05 12:51","22.3","2022-05-05 00:02","...","92","78","2022-05-05 12:51","0.9","8","6.0","31","2022-05-05 13:24","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1008.7","...","1010.1","2022-05-06 21:51","1007.4","2022-05-06 15:46","24.1","28.0","2022-05-06 15:51","22.1","2022-05-06 05:32","...","88","71","2022-05-06 16:03","1.1","73","7.1","53","2022-05-06 20:54","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1010.1","...","1011.4","2022-05-07 09:02","1008.7","2022-05-07 01:33","24.9","27.9","2022-05-07 11:04","21.4","2022-05-07 05:53","...","75","56","2022-05-07 14:33","1.0","15","7.1","82","2022-05-07 15:35","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1010.0","...","1011.5","2022-05-08 08:11","1008.1","2022-05-08 14:31","24.5","28.4","2022-05-08 12:02","22.4","2022-05-08 01:11","...","88","67","2022-05-08 13:41","0.8","55","7.7","99","2022-05-08 14:01","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1009.5","...","1011.3","2022-05-09 08:42","1008.1","2022-05-09 16:02","24.4","27.5","2022-05-09 12:12","23.2","2022-05-09 03:16","...","91","72","2022-05-09 12:13","1.0","67","7.7","39","2022-05-09 11:16","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1006.9","...","1009.0","2022-05-10 00:32","1004.7","2022-05-10 15:33","25.7","29.3","2022-05-10 11:11","23.6","2022-05-10 02:11","...","81","59","2022-05-10 11:11","0.6","79","5.5","52","2022-05-10 12:34","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1006.2","...","1007.9","2022-05-11 09:51","1004.2","2022-05-11 16:01","24.7","27.7","2022-05-11 15:05","23.0","2022-05-11 06:51","...","96","79","2022-05-11 15:05","0.4","55","4.9","27","2022-05-11 18:23","19.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
