"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1011.6","...","1014.1","2022-05-01 21:11","1009.7","2022-05-01 03:23","18.3","20.0","2022-05-01 00:45","15.3","2022-05-01 23:21","...","90","81","2022-05-01 12:11","2.0","84","8.2","81","2022-05-01 08:14","8.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1012.7","...","1014.3","2022-05-02 21:54","1011.5","2022-05-02 13:34","15.2","16.3","2022-05-02 12:02","14.4","2022-05-02 02:33","...","95","89","2022-05-02 00:01","2.3","63","9.3","87","2022-05-02 09:45","24.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1012.6","...","1013.8","2022-05-03 10:14","1011.7","2022-05-03 03:52","19.6","21.4","2022-05-03 23:43","16.0","2022-05-03 00:03","...","83","68","2022-05-03 23:57","2.6","43","10.4","74","2022-05-03 14:50","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1009.9","...","1012.6","2022-05-04 00:03","1008.0","2022-05-04 16:12","22.3","25.8","2022-05-04 12:11","18.8","2022-05-04 02:53","...","84","66","2022-05-04 00:11","2.4","44","10.4","74","2022-05-04 11:42","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1007.8","...","1008.8","2022-05-05 00:01","1006.6","2022-05-05 16:31","23.6","26.8","2022-05-05 08:45","21.7","2022-05-05 05:41","...","86","76","2022-05-05 08:50","0.8","35","6.0","29","2022-05-05 00:16","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1008.2","...","1009.9","2022-05-06 09:47","1006.9","2022-05-06 15:31","24.0","28.2","2022-05-06 15:12","21.6","2022-05-06 05:21","...","84","65","2022-05-06 15:12","1.0","24","6.6","120","2022-05-06 16:31","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1009.8","...","1011.4","2022-05-07 09:53","1008.2","2022-05-07 01:51","25.1","28.7","2022-05-07 15:34","21.6","2022-05-07 04:42","...","73","53","2022-05-07 16:05","1.7","51","6.6","54","2022-05-07 18:03","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1009.7","...","1011.2","2022-05-08 08:51","1007.7","2022-05-08 14:03","24.6","28.4","2022-05-08 14:21","22.0","2022-05-08 03:31","...","82","67","2022-05-08 12:31","1.6","67","8.8","84","2022-05-08 14:42","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1009.2","...","1010.9","2022-05-09 07:41","1007.6","2022-05-09 16:12","24.4","28.0","2022-05-09 11:41","23.0","2022-05-09 23:51","...","85","69","2022-05-09 11:41","1.5","60","7.7","88","2022-05-09 10:01","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1006.4","...","1008.6","2022-05-10 00:01","1004.4","2022-05-10 16:02","25.1","30.6","2022-05-10 11:11","21.3","2022-05-10 03:42","...","85","55","2022-05-10 11:11","0.5","53","6.0","274","2022-05-10 12:10","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1006.0","...","1007.7","2022-05-11 09:51","1003.4","2022-05-11 16:01","24.4","29.3","2022-05-11 15:41","22.1","2022-05-11 04:11","...","92","65","2022-05-11 17:31","0.4","38","4.9","267","2022-05-11 17:35","10.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1004.6","...","1005.0","2022-05-12 10:49","1002.8","2022-05-12 13:02","24.5","31.8","2022-05-12 12:31","22.7","2022-05-12 23:43","...","90","52","2022-05-12 12:42","0.6","16","8.8","288","2022-05-12 13:20","31.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1002.5","...","1005.6","2022-05-13 21:21","1000.4","2022-05-13 15:25","25.1","29.2","2022-05-13 11:35","22.3","2022-05-13 05:05","...","86","61","2022-05-13 12:13","0.9","279","7.1","261","2022-05-13 17:29","5.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1007.3","...","1009.5","2022-05-14 22:23","1004.5","2022-05-14 02:51","21.2","22.8","2022-05-14 00:03","20.3","2022-05-14 23:27","...","98","94","2022-05-14 19:34","1.8","85","6.6","25","2022-05-14 11:43","30.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1009.4","...","1011.2","2022-05-15 21:01","1007.6","2022-05-15 02:16","18.6","20.5","2022-05-15 00:08","17.0","2022-05-15 21:43","...","97","87","2022-05-15 13:34","1.9","61","8.8","44","2022-05-15 23:20","16.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1009.9","...","1011.0","2022-05-16 07:41","1008.7","2022-05-16 16:06","17.0","18.1","2022-05-16 13:31","16.0","2022-05-16 05:45","...","99","98","2022-05-16 10:55","2.1","54","8.2","54","2022-05-16 04:46","55.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1010.5","...","1012.5","2022-05-17 22:21","1008.6","2022-05-17 03:22","19.4","22.5","2022-05-17 13:02","16.4","2022-05-17 00:13","...","81","60","2022-05-17 12:48","2.0","79","7.7","104","2022-05-17 08:53","10.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"31","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
