"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1018.8","...","...","...","...","...","15.6","...","...","...","...","...","83","...","...","1.9","114","...","...","...","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1018.6","...","1020.0","2022-04-02 00:01","1016.9","2022-04-02 15:41","13.5","14.6","2022-04-02 00:04","12.7","2022-04-02 20:37","...","91","83","2022-04-02 00:04","1.4","115","7.7","110","2022-04-02 05:52","33.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1018.7","...","1020.2","2022-04-03 10:11","1017.4","2022-04-03 03:04","14.5","16.5","2022-04-03 17:11","12.2","2022-04-03 03:16","...","85","77","2022-04-03 17:47","1.5","114","6.6","126","2022-04-03 17:47","13.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1017.8","...","1019.2","2022-04-04 08:03","1016.3","2022-04-04 23:46","18.7","21.4","2022-04-04 12:23","15.7","2022-04-04 00:13","...","77","73","2022-04-04 11:03","1.8","120","9.3","91","2022-04-04 09:18","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1013.8","...","1016.8","2022-04-05 08:34","1010.7","2022-04-05 15:52","21.8","27.4","2022-04-05 13:23","16.9","2022-04-05 05:53","...","76","61","2022-04-05 14:14","1.4","120","9.9","113","2022-04-05 23:08","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1011.9","...","1013.8","2022-04-06 08:35","1010.4","2022-04-06 13:34","21.4","28.9","2022-04-06 12:03","16.9","2022-04-06 05:49","...","78","64","2022-04-06 12:03","1.7","115","9.3","30","2022-04-06 12:50","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1011.7","...","1013.2","2022-04-07 09:55","1010.4","2022-04-07 02:31","21.0","22.3","2022-04-07 11:22","20.0","2022-04-07 06:32","...","79","75","2022-04-07 12:54","1.3","116","7.1","66","2022-04-07 10:30","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1010.3","...","1012.4","2022-04-08 10:05","1008.4","2022-04-08 15:56","22.1","25.9","2022-04-08 14:13","20.2","2022-04-08 01:24","...","75","68","2022-04-08 16:41","1.8","113","12.6","82","2022-04-08 15:03","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1007.7","...","1009.5","2022-04-09 07:26","1005.7","2022-04-09 15:29","24.1","29.1","2022-04-09 13:03","19.6","2022-04-09 05:51","...","72","65","2022-04-09 13:35","1.6","122","8.8","131","2022-04-09 17:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1006.6","...","1008.4","2022-04-10 08:14","1004.8","2022-04-10 15:24","25.3","31.0","2022-04-10 14:54","19.4","2022-04-10 05:33","...","74","61","2022-04-10 11:53","1.1","119","6.6","48","2022-04-10 14:00","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1005.2","...","...","...","...","...","25.9","...","...","...","...","...","77","...","...","1.3","114","...","...","...","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
