"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","922.4","...","924.9","2020-07-01 22:03","920.9","2020-07-01 03:21","22.7","29.9","2020-07-01 10:51","19.6","2020-07-01 15:29","...","95","77","2020-07-01 10:51","2.8","167","10.7","280","2020-07-01 16:53","77.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","924.4","...","926.6","2020-07-02 20:31","922.8","2020-07-02 02:51","22.1","29.5","2020-07-02 11:51","18.6","2020-07-02 22:02","...","95","72","2020-07-02 11:21","2.7","97","9.3","157","2020-07-02 22:25","30.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","926.2","...","927.6","2020-07-03 21:51","924.3","2020-07-03 00:53","23.9","31.4","2020-07-03 12:03","19.5","2020-07-03 00:03","...","84","61","2020-07-03 12:31","2.2","4","7.4","192","2020-07-03 00:11","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","926.0","...","927.2","2020-07-04 02:11","924.3","2020-07-04 16:12","24.0","32.1","2020-07-04 11:31","20.6","2020-07-04 03:41","...","86","64","2020-07-04 08:42","2.0","12","6.7","283","2020-07-04 03:21","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","923.7","...","925.3","2020-07-05 00:01","922.8","2020-07-05 23:54","24.5","31.8","2020-07-05 10:21","20.3","2020-07-05 21:12","...","85","61","2020-07-05 10:34","2.4","12","11.1","222","2020-07-05 07:04","6.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","923.9","...","925.6","2020-07-06 21:31","921.9","2020-07-06 02:31","23.5","30.4","2020-07-06 14:41","20.5","2020-07-06 05:31","...","90","68","2020-07-06 10:53","2.1","20","7.3","267","2020-07-06 08:25","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","925.6","...","926.9","2020-07-07 10:36","924.9","2020-07-07 02:11","23.0","31.4","2020-07-07 11:31","19.9","2020-07-07 22:21","...","92","65","2020-07-07 12:01","2.1","136","7.0","303","2020-07-07 11:06","11.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","923.1","...","925.4","2020-07-08 00:01","921.6","2020-07-08 14:55","23.2","31.8","2020-07-08 11:33","20.2","2020-07-08 19:31","...","92","69","2020-07-08 11:16","2.0","169","6.4","173","2020-07-08 17:10","11.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","920.8","...","921.9","2020-07-09 00:01","920.0","2020-07-09 14:51","24.2","31.3","2020-07-09 13:33","20.4","2020-07-09 03:53","...","88","66","2020-07-09 13:33","1.6","32","6.4","302","2020-07-09 11:55","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
