"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","996.9","...","999.5","2020-04-01 21:46","990.9","2020-04-01 00:11","16.3","19.9","2020-04-01 01:01","14.9","2020-04-01 15:02","...","95","85","2020-04-01 12:58","1.8","48","9.3","25","2020-04-01 10:02","6.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","998.3","...","1000.8","2020-04-02 07:54","996.0","2020-04-02 02:43","17.7","22.7","2020-04-02 12:11","15.2","2020-04-02 02:34","...","96","84","2020-04-02 12:11","1.3","52","9.3","321","2020-04-02 04:03","11.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","997.9","...","1000.1","2020-04-03 21:12","994.0","2020-04-03 15:09","19.4","26.9","2020-04-03 11:49","15.8","2020-04-03 18:08","...","92","69","2020-04-03 11:32","0.7","84","6.6","276","2020-04-03 07:23","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","999.3","...","1002.0","2020-04-04 21:21","996.0","2020-04-04 03:25","16.3","18.0","2020-04-04 02:11","14.4","2020-04-04 06:22","...","93","80","2020-04-04 20:31","1.3","1","10.4","25","2020-04-04 05:29","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1000.1","...","1001.4","2020-04-05 09:13","997.5","2020-04-05 16:24","15.8","18.5","2020-04-05 10:28","13.3","2020-04-05 16:24","...","88","73","2020-04-05 11:05","1.0","51","7.7","45","2020-04-05 10:28","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","996.9","...","999.8","2020-04-06 00:33","994.3","2020-04-06 23:39","16.9","19.9","2020-04-06 13:43","14.6","2020-04-06 23:39","...","91","80","2020-04-06 10:04","1.1","48","7.7","54","2020-04-06 09:26","7.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","995.8","...","...","...","...","...","15.1","...","...","...","...","...","94","...","...","1.9","14","...","...","...","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","998.4","...","999.6","2020-04-09 21:31","996.8","2020-04-09 16:01","19.6","21.8","2020-04-09 16:39","16.1","2020-04-09 22:01","...","83","69","2020-04-09 16:35","1.0","47","7.1","31","2020-04-09 17:56","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","997.9","...","999.9","2020-04-10 07:51","996.0","2020-04-10 15:59","21.2","27.3","2020-04-10 13:22","16.3","2020-04-10 01:53","...","76","56","2020-04-10 13:22","1.7","52","9.3","56","2020-04-10 09:18","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","994.4","...","996.8","2020-04-11 00:01","991.6","2020-04-11 15:31","18.9","23.8","2020-04-11 08:41","15.7","2020-04-11 16:21","...","89","66","2020-04-11 09:07","0.9","43","9.3","337","2020-04-11 16:09","11.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","997.0","...","999.0","2020-04-12 20:01","993.2","2020-04-12 02:32","13.7","17.2","2020-04-12 00:07","11.1","2020-04-12 23:11","...","83","54","2020-04-12 18:51","1.5","2","11.5","27","2020-04-12 01:44","2.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","998.5","...","1000.8","2020-04-13 21:01","996.2","2020-04-13 15:02","15.0","21.5","2020-04-13 12:41","9.9","2020-04-13 02:52","...","63","37","2020-04-13 10:02","1.5","7","10.4","27","2020-04-13 15:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","996.7","...","999.8","2020-04-14 00:02","994.2","2020-04-14 15:23","18.6","26.2","2020-04-14 11:51","11.9","2020-04-14 02:31","...","65","35","2020-04-14 12:31","0.9","45","11.5","269","2020-04-14 07:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","994.8","...","996.4","2020-04-15 08:36","993.2","2020-04-15 15:02","19.5","24.8","2020-04-15 14:01","15.0","2020-04-15 05:31","...","70","46","2020-04-15 14:22","1.1","278","9.9","244","2020-04-15 10:16","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","994.7","...","996.2","2020-04-16 22:16","992.9","2020-04-16 02:01","21.6","29.5","2020-04-16 11:14","14.1","2020-04-16 06:04","...","70","35","2020-04-16 12:11","1.0","50","10.4","197","2020-04-16 18:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","995.0","...","996.9","2020-04-17 11:01","993.6","2020-04-17 16:35","22.8","29.0","2020-04-17 12:22","17.0","2020-04-17 05:07","...","77","55","2020-04-17 12:22","0.7","9","8.2","279","2020-04-17 13:46","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","994.7","...","996.9","2020-04-18 08:35","993.1","2020-04-18 15:51","23.2","28.2","2020-04-18 10:11","18.8","2020-04-18 04:51","...","83","62","2020-04-18 10:11","0.6","30","6.6","171","2020-04-18 00:03","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","991.6","...","993.4","2020-04-19 00:01","989.1","2020-04-19 16:41","24.0","27.8","2020-04-19 12:44","21.5","2020-04-19 05:21","...","88","75","2020-04-19 13:11","1.0","209","10.4","256","2020-04-19 15:53","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","993.5","...","995.9","2020-04-20 09:16","991.0","2020-04-20 04:01","22.9","26.5","2020-04-20 13:12","21.1","2020-04-20 19:16","...","88","71","2020-04-20 14:15","0.9","51","8.8","30","2020-04-20 11:38","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
