"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1008.5","...","1011.0","2022-05-01 22:15","1006.6","2022-05-01 03:14","17.9","19.6","2022-05-01 00:34","16.4","2022-05-02 00:00","...","88","71","2022-05-01 22:49","3.0","41","9.9","19","2022-05-01 03:12","5.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1009.8","...","1011.4","2022-05-02 21:12","1008.6","2022-05-02 05:49","16.3","18.6","2022-05-02 23:57","15.2","2022-05-02 02:48","...","82","71","2022-05-02 21:39","2.3","73","10.1","78","2022-05-02 09:16","15.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1009.7","...","1011.0","2022-05-03 09:43","1008.4","2022-05-03 14:42","19.8","21.5","2022-05-03 23:56","18.0","2022-05-03 08:56","...","81","63","2022-05-03 03:37","5.6","75","15.5","99","2022-05-03 11:08","5.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1007.4","...","1009.4","2022-05-04 00:01","1005.8","2022-05-04 16:02","21.0","22.4","2022-05-04 00:24","19.8","2022-05-04 02:34","...","91","65","2022-05-04 00:25","6.2","99","12.5","103","2022-05-04 09:48","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1004.5","...","1006.0","2022-05-05 00:01","1003.5","2022-05-05 03:36","21.2","22.1","2022-05-05 02:35","20.5","2022-05-05 08:29","...","98","94","2022-05-05 02:36","3.5","291","12.1","116","2022-05-05 03:38","4.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1005.1","...","1006.4","2022-05-06 21:57","1003.5","2022-05-06 03:30","22.6","24.3","2022-05-06 11:25","21.2","2022-05-06 05:49","...","91","84","2022-05-06 11:32","1.3","64","5.7","307","2022-05-06 03:39","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1006.5","...","1007.9","2022-05-07 09:46","1005.0","2022-05-07 02:11","23.4","25.0","2022-05-07 10:33","22.1","2022-05-07 03:52","...","86","79","2022-05-07 10:54","2.0","15","6.2","16","2022-05-07 11:02","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1006.4","...","1007.8","2022-05-08 08:22","1005.0","2022-05-08 16:44","23.4","24.9","2022-05-08 11:17","22.3","2022-05-08 21:00","...","91","86","2022-05-08 11:04","1.7","6","7.4","20","2022-05-08 16:57","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1005.9","...","1007.5","2022-05-09 08:53","1004.5","2022-05-09 17:58","23.2","23.7","2022-05-09 04:24","22.3","2022-05-09 23:17","...","90","85","2022-05-09 09:49","2.6","75","8.4","76","2022-05-09 15:16","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
