"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","979.4","...","982.0","2020-05-01 10:07","977.5","2020-05-01 16:23","25.1","30.3","2020-05-01 12:51","21.1","2020-05-01 02:33","...","68","21","2020-05-01 12:07","0.8","1","4.6","245","2020-05-01 12:07","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","976.9","...","978.6","2020-05-02 07:11","975.3","2020-05-02 16:33","26.1","31.3","2020-05-02 11:37","22.8","2020-05-02 05:41","...","69","48","2020-05-02 09:48","0.7","260","6.6","251","2020-05-02 12:03","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","976.0","...","977.8","2020-05-03 22:41","974.4","2020-05-03 03:31","25.7","29.9","2020-05-03 14:52","23.0","2020-05-03 02:35","...","95","78","2020-05-03 15:11","0.8","254","6.7","254","2020-05-03 13:49","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","977.3","...","978.8","2020-05-04 09:14","975.7","2020-05-04 16:11","26.1","32.1","2020-05-04 12:02","22.7","2020-05-04 05:22","...","90","58","2020-05-04 14:05","0.8","240","6.7","253","2020-05-04 14:32","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","975.8","...","977.5","2020-05-05 00:01","974.1","2020-05-05 17:02","26.7","32.4","2020-05-05 11:25","23.0","2020-05-05 05:21","...","88","61","2020-05-05 11:02","0.8","187","7.2","260","2020-05-05 14:59","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","975.9","...","977.6","2020-05-06 19:53","974.4","2020-05-06 01:25","26.9","32.0","2020-05-06 11:52","24.7","2020-05-06 03:42","...","90","72","2020-05-06 11:58","0.7","159","6.9","242","2020-05-06 15:03","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","976.8","...","978.3","2020-05-07 10:11","975.8","2020-05-07 15:31","27.0","32.1","2020-05-07 14:11","23.9","2020-05-07 05:31","...","91","53","2020-05-07 14:12","0.6","107","7.0","242","2020-05-07 13:49","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","976.4","...","977.9","2020-05-08 10:21","974.8","2020-05-08 15:46","27.6","33.4","2020-05-08 11:44","23.3","2020-05-08 04:51","...","88","57","2020-05-08 11:58","0.7","258","7.7","254","2020-05-08 12:05","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","976.0","...","977.6","2020-05-09 09:46","974.2","2020-05-09 17:01","27.7","32.5","2020-05-09 12:59","24.7","2020-05-09 04:31","...","90","58","2020-05-09 15:06","0.7","248","7.6","248","2020-05-09 13:30","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","976.2","...","977.8","2020-05-10 20:43","973.9","2020-05-10 15:01","27.5","34.3","2020-05-10 11:11","23.5","2020-05-10 21:23","...","90","50","2020-05-10 11:11","1.1","260","7.5","240","2020-05-10 12:57","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","976.2","...","978.2","2020-05-11 10:01","974.5","2020-05-11 14:46","26.4","29.8","2020-05-11 13:07","23.5","2020-05-11 04:31","...","98","85","2020-05-11 14:43","1.1","353","5.9","3","2020-05-11 00:26","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","976.6","...","978.0","2020-05-12 09:31","975.0","2020-05-12 02:55","24.3","27.1","2020-05-12 12:52","23.3","2020-05-12 02:46","...","100","94","2020-05-12 12:51","1.5","4","7.0","351","2020-05-12 14:26","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","978.2","...","979.9","2020-05-13 09:53","976.6","2020-05-13 01:56","25.8","30.8","2020-05-13 14:56","21.7","2020-05-13 02:41","...","85","51","2020-05-13 14:56","0.9","4","7.2","351","2020-05-13 13:22","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","978.0","...","979.8","2020-05-14 08:53","976.3","2020-05-14 17:13","26.3","31.2","2020-05-14 10:32","22.8","2020-05-14 05:25","...","80","50","2020-05-14 13:27","0.7","226","6.7","257","2020-05-14 13:38","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","975.7","...","977.0","2020-05-15 00:01","974.4","2020-05-15 16:01","26.8","31.3","2020-05-15 12:21","22.9","2020-05-15 05:01","...","90","69","2020-05-15 08:42","0.6","247","6.4","254","2020-05-15 15:07","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","974.9","...","976.1","2020-05-16 08:31","973.8","2020-05-16 14:01","25.9","31.2","2020-05-16 08:41","21.8","2020-05-16 22:43","...","98","80","2020-05-16 08:41","0.9","9","7.7","19","2020-05-16 13:13","5.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","971.9","...","973.9","2020-05-17 00:01","969.5","2020-05-17 15:46","26.3","31.3","2020-05-17 13:01","21.2","2020-05-17 05:32","...","93","71","2020-05-17 13:01","0.9","81","8.1","354","2020-05-17 12:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","971.4","...","972.9","2020-05-18 10:06","969.3","2020-05-18 03:11","24.4","28.5","2020-05-18 12:36","21.4","2020-05-18 09:14","...","100","99","2020-05-18 02:24","0.5","159","9.3","221","2020-05-18 09:07","15.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","973.1","...","974.7","2020-05-19 23:31","971.2","2020-05-19 02:51","22.2","24.0","2020-05-19 02:15","20.7","2020-05-19 23:11","...","99","99","2020-05-19 14:39","0.4","113","4.5","231","2020-05-19 17:14","30.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","974.8","...","976.0","2020-05-20 09:13","973.9","2020-05-20 03:54","23.7","28.9","2020-05-20 12:24","20.7","2020-05-20 03:05","...","99","86","2020-05-20 12:26","0.5","44","4.8","243","2020-05-20 13:17","2.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","972.9","...","975.0","2020-05-21 00:25","971.2","2020-05-21 23:34","23.6","26.5","2020-05-21 10:41","21.5","2020-05-21 22:31","...","99","99","2020-05-21 23:02","0.4","109","6.3","274","2020-05-21 16:24","41.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","970.3","...","971.3","2020-05-22 07:51","969.0","2020-05-22 15:59","22.9","24.1","2020-05-22 12:03","21.6","2020-05-22 00:02","...","99","99","2020-05-22 13:32","0.5","161","5.6","245","2020-05-22 13:27","74.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","971.8","...","973.9","2020-05-23 22:31","969.3","2020-05-23 03:08","23.4","26.6","2020-05-23 13:41","21.4","2020-05-23 07:33","...","99","99","2020-05-23 04:46","1.1","18","7.3","16","2020-05-23 12:37","3.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","974.8","...","976.7","2020-05-24 23:32","973.1","2020-05-24 01:31","25.7","30.3","2020-05-24 13:01","22.3","2020-05-24 03:51","...","98","84","2020-05-24 13:05","1.0","4","7.1","360","2020-05-24 13:35","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","976.6","...","977.9","2020-05-25 09:21","975.1","2020-05-25 21:34","26.1","30.5","2020-05-25 11:06","23.5","2020-05-25 04:01","...","96","69","2020-05-25 14:03","0.6","105","5.1","300","2020-05-25 15:13","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","975.5","...","977.0","2020-05-26 00:01","974.2","2020-05-26 16:51","25.0","28.0","2020-05-26 07:51","22.9","2020-05-26 21:33","...","99","99","2020-05-26 20:59","0.4","161","6.6","256","2020-05-26 21:04","30.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","975.5","...","977.0","2020-05-27 22:21","973.8","2020-05-27 03:42","24.0","26.5","2020-05-27 14:31","22.6","2020-05-27 03:32","...","99","99","2020-05-27 10:05","0.2","93","4.1","355","2020-05-27 09:27","16.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","977.2","...","978.8","2020-05-28 21:21","975.6","2020-05-28 02:44","24.2","26.8","2020-05-28 16:53","22.6","2020-05-28 01:41","...","99","99","2020-05-28 09:19","0.3","4","3.7","38","2020-05-28 14:46","21.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","977.7","...","979.2","2020-05-29 22:02","976.6","2020-05-29 16:38","25.1","29.9","2020-05-29 10:16","22.7","2020-05-29 21:32","...","99","99","2020-05-29 02:53","0.4","102","4.6","2","2020-05-29 12:19","12.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","978.4","...","979.5","2020-05-30 09:25","976.4","2020-05-30 20:25","26.2","31.0","2020-05-30 12:22","22.4","2020-05-30 04:41","...","99","88","2020-05-30 12:22","0.7","151","6.9","263","2020-05-30 12:19","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"31","978.6","...","980.1","2020-05-31 09:33","976.3","2020-05-31 16:12","27.3","31.6","2020-05-31 13:11","24.6","2020-05-31 01:23","...","96","81","2020-05-31 10:02","0.7","254","6.7","256","2020-05-31 12:29","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
