"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","X","...","659.2","2022-05-01 13:02","653.5","2022-05-01 03:09","4.3","5.5","2022-05-01 11:03","3.2","2022-05-01 22:29","...","98","84","2022-05-01 02:39","2.9","186","15.7","206","2022-05-01 04:50","20.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","X","...","660.7","2022-05-02 08:06","651.8","2022-05-02 15:01","2.7","4.8","2022-05-02 07:43","1.3","2022-05-02 14:02","...","99","93","2022-05-02 23:06","3.9","190","17.3","206","2022-05-02 23:04","83.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","X","...","669.7","2022-05-03 11:11","657.2","2022-05-03 00:01","4.5","7.2","2022-05-03 09:49","3.1","2022-05-03 00:01","...","99","90","2022-05-03 11:19","2.0","35","11.2","208","2022-05-03 06:52","19.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","X","...","670.0","2022-05-04 13:41","658.5","2022-05-04 00:01","5.1","6.7","2022-05-04 13:17","2.6","2022-05-04 23:59","...","99","66","2022-05-04 23:34","1.5","29","8.4","188","2022-05-04 23:04","30.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","X","...","688.4","2022-05-05 10:29","655.1","2022-05-05 01:21","6.6","10.7","2022-05-05 09:30","2.2","2022-05-05 00:04","...","73","56","2022-05-05 22:28","1.6","39","7.6","132","2022-05-05 08:38","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","X","...","684.9","2022-05-06 11:58","657.3","2022-05-06 19:16","7.2","11.3","2022-05-06 09:22","4.8","2022-05-06 18:27","...","70","46","2022-05-06 22:39","2.7","46","12.8","203","2022-05-06 06:51","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","X","...","686.6","2022-05-07 10:55","655.4","2022-05-07 05:03","7.5","12.8","2022-05-07 10:40","3.1","2022-05-07 04:41","...","71","47","2022-05-07 01:06","2.1","45","9.9","207","2022-05-07 19:58","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","X","...","673.1","2022-05-08 13:07","657.0","2022-05-08 00:01","5.7","8.5","2022-05-08 12:02","4.6","2022-05-08 23:17","...","92","71","2022-05-08 13:58","1.1","56","8.9","182","2022-05-08 13:25","4.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","X","...","677.9","2022-05-09 11:43","655.2","2022-05-09 21:53","4.8","8.3","2022-05-09 11:15","2.8","2022-05-09 18:31","...","89","68","2022-05-09 10:02","1.4","40","10.7","179","2022-05-09 18:28","2.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","X","...","684.1","2022-05-10 09:11","652.4","2022-05-10 03:01","6.0","11.4","2022-05-10 12:49","1.3","2022-05-10 02:34","...","91","69","2022-05-10 12:50","1.7","47","10.5","141","2022-05-10 23:59","4.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","X","...","669.0","2022-05-11 14:20","658.3","2022-05-11 19:55","5.8","7.5","2022-05-11 14:08","4.8","2022-05-11 17:18","...","98","84","2022-05-11 21:00","1.8","174","11.6","203","2022-05-11 08:15","19.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","X","...","676.3","2022-05-12 11:50","660.4","2022-05-12 04:29","6.6","9.5","2022-05-12 08:10","5.4","2022-05-12 01:37","...","95","81","2022-05-12 08:11","1.4","153","10.5","209","2022-05-12 07:55","19.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","X","...","665.1","2022-05-13 13:35","660.7","2022-05-13 19:39","6.0","7.1","2022-05-13 13:20","5.4","2022-05-13 09:58","...","100","100","2022-05-13 13:02","2.5","192","16.0","184","2022-05-13 08:28","40.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
