"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1017.0","1018.1","1018.4","2022-02-01 00:25","1015.1","2022-02-01 15:34","18.2","22.0","2022-02-01 14:46","16.1","2022-02-01 05:42","14.1","77","62","2022-02-01 14:16","3.2","360","9.6","360","2022-02-01 15:30","0.0","0.0","0.0","...","0.0","...","3.3","29.8","11.75","...","...","...","...","..."
"02","1016.8","1017.9","1018.2","2022-02-02 09:18","1015.3","2022-02-02 15:45","18.7","23.7","2022-02-02 13:36","16.1","2022-02-02 06:44","16.2","86","65","2022-02-02 13:40","3.9","360","11.3","340","2022-02-02 14:40","0.0","0.0","0.0","...","0.0","...","6.6","59.5","16.23","...","...","...","...","..."
"03","1015.5","1016.6","1016.5","2022-02-03 21:34","1013.6","2022-02-03 14:50","18.1","22.4","2022-02-03 12:04","15.8","2022-02-03 23:55","16.0","88","69","2022-02-03 11:46","4.0","360","10.2","20","2022-02-03 17:30","T","0.2","T","2022-02-03 13:02","T","2022-02-03 13:02","2.6","23.4","10.12","...","...","...","...","..."
"04","1017.1","1018.3","1019.7","2022-02-04 22:26","1015.5","2022-02-04 15:15","17.7","22.9","2022-02-04 12:29","14.4","2022-02-04 23:55","14.1","80","63","2022-02-04 12:35","4.9","360","11.7","330","2022-02-04 13:15","0.0","0.0","0.0","...","0.0","...","8.6","77.3","18.14","...","...","...","...","..."
"05","1020.5","1021.7","1022.3","2022-02-05 21:11","1018.8","2022-02-05 03:28","16.5","21.0","2022-02-05 12:54","13.8","2022-02-05 03:34","12.0","75","58","2022-02-05 13:44","4.3","350","11.1","350","2022-02-05 15:45","0.0","0.0","0.0","...","0.0","...","5.6","50.2","15.88","...","...","...","...","..."
"06","1020.0","1021.2","1022.3","2022-02-06 09:20","1017.4","2022-02-06 15:57","16.8","22.9","2022-02-06 14:03","12.7","2022-02-06 06:16","12.3","76","52","2022-02-06 13:34","4.2","360","10.5","160","2022-02-06 10:42","0.0","0.0","0.0","...","0.0","...","10.1","90.5","19.45","...","...","...","...","..."
"07","1015.8","1017.0","1018.9","2022-02-07 00:42","1012.2","2022-02-07 14:41","17.7","23.7","2022-02-07 14:28","14.3","2022-02-07 02:15","14.3","81","59","2022-02-07 12:47","3.2","10","18.7","20","2022-02-07 19:44","7.5","2.0","1.5","2022-02-07 20:07","5.5","2022-02-07 20:07","2.7","24.1","11.61","...","...","...","...","..."
"08","1016.1","1017.3","1017.7","2022-02-08 09:17","1014.2","2022-02-08 04:04","18.3","22.2","2022-02-08 14:38","16.2","2022-02-08 05:14","14.5","79","64","2022-02-08 14:43","4.4","360","13.4","360","2022-02-08 07:02","0.5","0.3","0.5","2022-02-08 02:18","0.5","2022-02-08 02:18","5.3","47.3","15.18","...","...","...","...","..."
"09","1016.9","1018.1","1019.8","2022-02-09 09:02","1014.0","2022-02-09 14:49","19.2","26.0","2022-02-09 14:44","15.8","2022-02-09 02:42","15.2","79","54","2022-02-09 14:45","3.0","350","10.1","330","2022-02-09 16:30","0.0","0.0","0.0","...","0.0","...","8.5","75.8","18.17","...","...","...","...","..."
"10","1015.9","1017.1","1018.4","2022-02-10 08:36","1012.8","2022-02-10 15:12","19.0","25.7","2022-02-10 15:33","16.1","2022-02-10 01:27","16.2","85","58","2022-02-10 13:07","3.7","350","9.5","20","2022-02-10 04:02","0.0","0.0","0.0","...","0.0","...","7.0","62.3","16.72","...","...","...","...","..."
"11","1015.5","1016.7","1018.1","2022-02-11 09:23","1013.7","2022-02-11 15:03","18.4","23.4","2022-02-11 14:22","16.0","2022-02-11 04:24","16.5","89","68","2022-02-11 13:49","3.4","360","9.7","340","2022-02-11 15:00","0.0","0.0","0.0","...","0.0","...","4.4","39.1","13.34","...","...","...","...","..."
"12","1013.6","1014.7","1016.1","2022-02-12 09:00","1011.6","2022-02-12 14:44","18.8","23.6","2022-02-12 13:08","16.2","2022-02-12 05:22","16.4","87","66","2022-02-12 12:39","4.4","360","11.9","350","2022-02-12 15:43","0.0","0.0","0.0","...","0.0","...","7.1","63.0","18.35","...","...","...","...","..."
"13","1011.9","1013.0","1013.4","2022-02-13 00:29","1009.3","2022-02-13 15:55","19.5","25.3","2022-02-13 13:59","16.8","2022-02-13 00:59","16.8","86","62","2022-02-13 14:01","3.5","360","10.6","360","2022-02-13 23:53","T","0.1","T","2022-02-13 21:10","T","2022-02-13 21:10","3.5","31.0","14.28","...","...","...","...","..."
"14","1013.9","1015.0","1016.0","2022-02-14 23:19","1012.1","2022-02-14 04:06","16.8","19.0","2022-02-14 12:58","14.4","2022-02-14 23:48","14.2","85","73","2022-02-14 14:47","5.0","360","16.1","10","2022-02-14 10:02","T","0.2","T","2022-02-14 02:49","T","2022-02-14 02:49","0.4","3.5","7.64","...","...","...","...","..."
"15","1015.5","1016.7","1018.1","2022-02-15 09:31","1013.7","2022-02-15 15:32","16.8","20.9","2022-02-15 13:36","14.2","2022-02-15 00:23","13.2","80","65","2022-02-15 12:12","2.9","360","9.3","340","2022-02-15 14:21","0.0","0.0","0.0","...","0.0","...","0.1","0.9","7.98","...","...","...","...","..."
"16","1014.1","1015.3","1016.6","2022-02-16 09:47","1011.3","2022-02-16 15:37","18.1","24.1","2022-02-16 13:49","14.5","2022-02-16 04:27","14.5","81","54","2022-02-16 14:46","3.5","360","8.7","330","2022-02-16 11:06","0.0","0.0","0.0","...","0.0","...","8.7","76.6","19.31","...","...","...","...","..."
"17","1013.2","1014.3","1014.6","2022-02-17 11:10","1011.4","2022-02-17 05:12","17.3","20.2","2022-02-17 14:16","14.8","2022-02-17 05:58","15.3","88","74","2022-02-17 10:55","3.5","360","10.0","360","2022-02-17 22:46","T","0.4","T","2022-02-17 12:10","T","2022-02-17 12:10","0.2","1.8","6.89","...","...","...","...","..."
"18","1013.4","1014.5","1015.7","2022-02-18 08:36","1011.6","2022-02-18 15:11","18.4","23.4","2022-02-18 12:00","15.6","2022-02-18 06:26","16.3","88","69","2022-02-18 11:47","4.0","360","11.9","360","2022-02-18 03:22","2.0","2.1","0.5","2022-02-18 05:01","1.0","2022-02-18 05:01","4.1","36.0","13.18","...","...","...","...","..."
"19","1013.6","1014.8","1015.7","2022-02-19 09:55","1011.5","2022-02-19 15:01","16.9","22.5","2022-02-19 13:25","13.4","2022-02-19 23:59","15.5","92","69","2022-02-19 13:26","5.1","360","12.9","10","2022-02-19 18:19","18.0","5.7","2.0","2022-02-19 23:40","6.5","2022-02-19 22:54","1.0","8.8","9.52","...","...","...","...","..."
"20","1017.4","1018.6","1020.2","2022-02-20 21:12","1014.7","2022-02-20 00:01","11.3","13.5","2022-02-20 00:13","10.3","2022-02-20 21:58","10.9","98","95","2022-02-20 13:25","6.4","360","14.9","360","2022-02-20 07:38","25.5","11.3","1.5","2022-02-20 00:20","4.5","2022-02-20 00:04","0.0","0.0","1.66","...","...","...","...","..."
"21","1019.3","1020.5","1020.8","2022-02-21 09:30","1017.7","2022-02-21 15:27","12.3","14.3","2022-02-21 23:19","10.3","2022-02-21 00:47","12.0","98","95","2022-02-21 16:42","3.3","360","7.7","360","2022-02-21 08:04","10.0","8.8","0.5","2022-02-21 00:26","1.5","2022-02-21 01:44","0.0","0.0","2.19","...","...","...","...","..."
"22","1018.2","1019.4","1020.0","2022-02-22 09:47","1016.4","2022-02-22 14:18","15.9","18.1","2022-02-22 13:38","14.3","2022-02-22 00:01","15.3","96","89","2022-02-22 12:49","3.4","360","7.8","20","2022-02-22 08:23","0.5","0.7","0.5","2022-02-22 05:25","0.5","2022-02-22 05:25","0.0","0.0","4.72","...","...","...","...","..."
"23","1019.1","1020.3","1021.8","2022-02-23 22:57","1017.3","2022-02-23 04:45","14.1","15.8","2022-02-23 00:01","13.1","2022-02-23 20:39","13.7","97","91","2022-02-23 23:45","5.3","360","14.7","360","2022-02-23 09:28","14.5","6.1","2.5","2022-02-23 13:13","6.5","2022-02-23 12:56","0.0","0.0","2.50","...","...","...","...","..."
"24","1021.5","1022.7","1023.1","2022-02-24 09:38","1019.9","2022-02-24 14:48","15.7","19.1","2022-02-24 13:57","12.9","2022-02-24 04:44","12.4","81","71","2022-02-24 12:50","3.7","10","11.3","360","2022-02-24 03:50","0.0","0.0","0.0","...","0.0","...","0.6","5.2","10.95","...","...","...","...","..."
"25","1021.2","1022.3","1023.8","2022-02-25 09:29","1018.8","2022-02-25 14:53","17.1","23.1","2022-02-25 13:37","12.7","2022-02-25 06:18","14.1","83","61","2022-02-25 12:59","2.9","350","10.4","340","2022-02-25 16:40","0.0","0.0","0.0","...","0.0","...","10.4","90.1","21.08","...","...","...","...","..."
