"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","992.9","...","994.3","2021-08-01 00:01","991.0","2021-08-01 16:01","25.8","28.3","2021-08-01 15:51","24.2","2021-08-01 05:24","...","98","95","2021-08-01 18:06","2.0","84","7.7","92","2021-08-01 05:01","264.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","992.3","...","993.5","2021-08-02 21:29","991.2","2021-08-02 16:13","25.8","27.3","2021-08-02 08:04","25.0","2021-08-02 19:56","...","97","93","2021-08-02 22:51","1.9","102","9.8","82","2021-08-02 13:25","71.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","993.0","...","995.0","2021-08-03 23:41","991.1","2021-08-03 04:21","27.4","32.0","2021-08-03 10:31","25.1","2021-08-03 02:51","...","92","77","2021-08-03 10:41","1.9","100","6.8","258","2021-08-03 16:20","6.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","993.3","...","995.0","2021-08-04 00:01","991.3","2021-08-04 17:31","26.7","30.0","2021-08-04 09:32","25.5","2021-08-04 02:51","...","93","85","2021-08-04 23:51","2.7","92","9.7","206","2021-08-04 14:27","22.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","992.9","...","994.5","2021-08-05 21:53","991.1","2021-08-05 03:56","26.1","27.8","2021-08-05 00:23","25.2","2021-08-05 19:02","...","95","83","2021-08-05 00:23","2.7","124","9.4","138","2021-08-05 12:48","63.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","992.0","...","993.6","2021-08-06 00:01","990.5","2021-08-06 16:49","27.1","28.5","2021-08-06 09:57","25.1","2021-08-06 11:17","...","95","89","2021-08-06 10:14","3.0","175","11.8","205","2021-08-06 23:40","101.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","994.3","...","998.0","2021-08-07 22:54","990.3","2021-08-07 03:26","27.2","28.0","2021-08-07 15:44","25.2","2021-08-07 07:41","...","97","95","2021-08-07 04:28","2.6","266","16.9","226","2021-08-07 02:48","114.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","999.5","...","1001.7","2021-08-08 23:55","997.1","2021-08-08 02:02","26.7","28.1","2021-08-08 12:30","25.1","2021-08-08 20:33","...","96","92","2021-08-08 14:04","1.3","86","7.1","97","2021-08-08 18:23","64.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1001.1","...","1003.0","2021-08-09 11:35","999.2","2021-08-09 17:43","26.9","31.5","2021-08-09 17:23","25.2","2021-08-09 01:22","...","94","74","2021-08-09 15:48","1.4","91","6.9","96","2021-08-09 02:47","88.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1001.5","...","1003.2","2021-08-10 22:31","1000.0","2021-08-10 05:31","27.0","33.2","2021-08-10 10:33","24.6","2021-08-10 05:21","...","93","70","2021-08-10 10:55","1.5","92","8.9","204","2021-08-10 11:22","18.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1003.2","...","1004.6","2021-08-11 20:26","1001.3","2021-08-11 16:31","28.3","34.0","2021-08-11 14:04","24.7","2021-08-11 05:13","...","87","64","2021-08-11 14:22","1.7","96","6.7","221","2021-08-11 14:54","2.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1003.7","...","1005.6","2021-08-12 08:44","1001.5","2021-08-12 15:07","28.2","33.6","2021-08-12 12:11","24.5","2021-08-12 04:53","...","87","65","2021-08-12 11:44","1.6","94","5.4","264","2021-08-12 16:36","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1001.4","...","1003.0","2021-08-13 00:01","1000.2","2021-08-13 17:35","27.2","32.1","2021-08-13 10:04","25.0","2021-08-13 05:42","...","88","69","2021-08-13 10:12","1.9","96","7.6","147","2021-08-13 15:02","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1002.1","...","1005.0","2021-08-14 22:04","1000.2","2021-08-14 03:53","26.9","31.5","2021-08-14 14:21","24.6","2021-08-14 23:43","...","90","74","2021-08-14 14:11","1.8","96","6.8","144","2021-08-14 08:44","50.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1004.8","...","1007.0","2021-08-15 22:34","1003.1","2021-08-15 01:54","28.8","35.1","2021-08-15 13:12","23.6","2021-08-15 04:46","...","83","58","2021-08-15 13:12","1.6","243","6.7","271","2021-08-15 14:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1006.3","...","1007.3","2021-08-16 08:24","1004.5","2021-08-16 14:42","29.4","34.8","2021-08-16 13:44","26.0","2021-08-16 22:51","...","82","57","2021-08-16 11:02","1.5","96","7.8","266","2021-08-16 15:00","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1004.1","...","1006.5","2021-08-17 00:11","1001.7","2021-08-17 15:31","29.3","34.8","2021-08-17 13:54","25.0","2021-08-17 05:11","...","81","57","2021-08-17 10:52","1.7","83","5.8","261","2021-08-17 14:24","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1001.9","...","1001.8","2021-08-18 21:21","1000.0","2021-08-18 18:46","27.9","28.1","2021-08-18 18:21","25.0","2021-08-18 23:55","...","86","86","2021-08-18 18:21","1.3","109","2.1","202","2021-08-18 18:52","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1001.3","...","1002.6","2021-08-19 09:54","999.5","2021-08-19 03:32","27.7","35.2","2021-08-19 12:32","23.8","2021-08-19 23:55","...","82","53","2021-08-19 12:24","1.9","73","8.1","265","2021-08-19 15:02","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1002.1","...","1003.5","2021-08-20 09:31","1000.1","2021-08-20 16:05","28.0","33.7","2021-08-20 12:32","22.7","2021-08-20 05:35","...","78","55","2021-08-20 12:21","1.9","80","6.4","260","2021-08-20 15:12","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1001.2","...","1002.5","2021-08-21 00:01","999.5","2021-08-21 15:23","27.3","33.8","2021-08-21 13:42","23.3","2021-08-21 23:51","...","82","56","2021-08-21 13:47","1.7","81","6.7","149","2021-08-21 16:15","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1000.1","...","1001.2","2021-08-22 08:23","998.2","2021-08-22 16:51","27.7","33.3","2021-08-22 11:23","22.5","2021-08-22 05:01","...","78","53","2021-08-22 11:21","1.6","5","5.5","254","2021-08-22 14:25","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1000.4","...","1002.0","2021-08-23 22:46","999.3","2021-08-23 15:03","28.4","34.2","2021-08-23 13:31","23.5","2021-08-23 05:12","...","78","51","2021-08-23 12:31","1.6","99","6.6","276","2021-08-23 14:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1001.0","...","1003.0","2021-08-24 23:11","999.8","2021-08-24 03:11","27.1","33.3","2021-08-24 10:02","24.1","2021-08-24 05:01","...","86","59","2021-08-24 10:11","1.5","99","9.7","81","2021-08-24 12:26","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1002.3","...","1004.7","2021-08-25 22:01","1000.5","2021-08-25 15:31","27.1","33.4","2021-08-25 13:44","23.4","2021-08-25 03:02","...","83","57","2021-08-25 10:41","1.9","78","6.4","258","2021-08-25 13:44","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","1003.7","...","1005.2","2021-08-26 21:11","1001.5","2021-08-26 15:57","25.8","33.9","2021-08-26 13:55","21.0","2021-08-26 19:21","...","83","58","2021-08-26 11:41","2.2","71","10.8","156","2021-08-26 16:47","65.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","1003.8","...","1004.8","2021-08-27 08:22","1002.1","2021-08-27 15:02","26.6","33.6","2021-08-27 13:12","21.1","2021-08-27 05:31","...","82","53","2021-08-27 13:12","1.4","90","6.4","308","2021-08-27 15:38","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","1003.1","...","1004.5","2021-08-28 08:21","1001.5","2021-08-28 16:15","27.9","34.2","2021-08-28 12:51","23.3","2021-08-28 05:38","...","80","51","2021-08-28 12:21","1.3","79","7.1","282","2021-08-28 14:09","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","1003.0","...","1004.3","2021-08-29 21:14","1001.5","2021-08-29 14:32","28.0","34.0","2021-08-29 12:31","23.0","2021-08-29 05:27","...","81","54","2021-08-29 12:12","1.3","103","6.6","271","2021-08-29 13:12","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","1003.2","...","1005.6","2021-08-30 11:21","1001.7","2021-08-30 17:22","24.9","26.3","2021-08-30 15:46","23.4","2021-08-30 23:32","...","95","89","2021-08-30 16:34","1.4","105","4.9","40","2021-08-30 16:13","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"31","1003.2","...","1004.5","2021-08-31 08:11","1002.0","2021-08-31 16:11","26.7","32.2","2021-08-31 11:12","23.0","2021-08-31 01:47","...","87","63","2021-08-31 11:04","1.3","92","7.3","301","2021-08-31 14:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
