"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1007.8","...","1009.8","2020-12-01 08:33","1005.8","2020-12-01 15:06","21.9","24.6","2020-12-01 11:29","19.4","2020-12-01 05:19","...","76","63","2020-12-01 11:57","4.1","70","15.8","32","2020-12-01 03:18","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1005.7","...","1007.2","2020-12-02 09:24","1003.5","2020-12-02 15:48","22.5","25.0","2020-12-02 12:10","21.4","2020-12-02 06:16","...","73","66","2020-12-02 08:58","3.7","65","14.5","91","2020-12-02 18:07","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1005.5","...","1007.0","2020-12-03 08:23","1004.2","2020-12-03 14:29","20.7","22.0","2020-12-03 09:20","19.5","2020-12-03 23:05","...","76","71","2020-12-03 09:26","3.3","63","19.0","35","2020-12-03 22:10","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1005.5","...","1007.2","2020-12-04 09:06","1003.3","2020-12-04 14:41","20.9","22.7","2020-12-04 13:06","18.9","2020-12-04 05:16","...","75","70","2020-12-04 01:48","4.0","63","15.3","20","2020-12-04 20:53","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1006.5","...","1008.4","2020-12-05 08:48","1004.9","2020-12-05 13:33","21.5","23.4","2020-12-05 11:07","20.1","2020-12-05 00:06","...","73","65","2020-12-05 11:08","3.9","61","15.5","46","2020-12-05 01:01","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1006.1","...","1007.9","2020-12-06 09:26","1004.4","2020-12-06 14:53","23.0","25.4","2020-12-06 10:50","21.5","2020-12-06 00:43","...","76","65","2020-12-06 10:51","3.6","64","14.7","76","2020-12-06 23:08","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1006.7","...","1008.3","2020-12-07 08:25","1004.4","2020-12-07 14:59","23.6","25.3","2020-12-07 12:32","22.2","2020-12-07 22:41","...","81","75","2020-12-07 10:20","2.6","73","13.1","38","2020-12-07 17:55","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1006.1","...","1008.4","2020-12-08 09:18","1004.3","2020-12-08 13:46","22.1","23.3","2020-12-08 14:28","21.5","2020-12-08 02:51","...","91","81","2020-12-08 23:35","2.1","65","11.3","30","2020-12-08 23:38","3.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1005.1","...","1007.4","2020-12-09 08:47","1003.0","2020-12-09 14:11","21.8","22.7","2020-12-09 13:57","20.2","2020-12-09 05:55","...","81","72","2020-12-09 10:27","3.2","65","14.8","30","2020-12-09 04:16","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1004.6","...","1006.2","2020-12-10 09:07","1002.4","2020-12-10 14:41","23.4","27.1","2020-12-10 12:02","19.8","2020-12-10 06:02","...","82","66","2020-12-10 12:48","1.3","83","8.2","103","2020-12-10 13:19","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1003.8","...","1005.7","2020-12-11 08:44","1001.7","2020-12-11 14:53","23.8","26.7","2020-12-11 11:32","21.9","2020-12-11 06:39","...","84","72","2020-12-11 11:33","1.4","71","6.7","98","2020-12-11 13:49","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1004.1","...","1006.1","2020-12-12 08:45","1002.2","2020-12-12 15:14","22.2","24.4","2020-12-12 09:59","20.3","2020-12-12 22:17","...","86","76","2020-12-12 10:59","2.1","73","10.2","43","2020-12-12 12:03","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1004.7","...","1006.8","2020-12-13 09:38","1002.8","2020-12-13 15:39","21.7","24.8","2020-12-13 13:29","19.1","2020-12-13 03:31","...","83","70","2020-12-13 10:24","1.6","64","7.3","106","2020-12-13 11:03","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1006.7","...","1008.7","2020-12-15 00:00","1004.6","2020-12-14 03:10","21.7","25.2","2020-12-14 12:22","20.0","2020-12-14 06:54","...","81","69","2020-12-14 11:39","2.2","70","10.6","35","2020-12-14 16:54","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1009.1","...","1010.9","2020-12-15 09:31","1007.6","2020-12-15 14:13","20.6","22.3","2020-12-15 12:29","19.3","2020-12-15 01:17","...","77","71","2020-12-15 10:06","3.1","70","11.9","48","2020-12-15 12:09","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1009.6","...","1011.5","2020-12-16 09:19","1008.0","2020-12-16 13:56","20.8","23.2","2020-12-16 11:04","19.5","2020-12-16 23:38","...","76","68","2020-12-16 11:07","3.3","55","14.3","42","2020-12-16 13:56","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1008.8","...","1010.8","2020-12-17 09:18","1007.0","2020-12-17 15:09","20.7","22.9","2020-12-17 11:59","19.3","2020-12-17 02:12","...","74","66","2020-12-17 10:35","3.0","71","14.7","26","2020-12-17 10:50","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1008.3","...","1009.5","2020-12-18 08:40","1006.2","2020-12-18 14:04","22.3","25.5","2020-12-18 12:30","19.2","2020-12-18 03:43","...","77","65","2020-12-18 12:26","1.8","78","8.3","96","2020-12-18 10:28","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1009.1","...","1010.8","2020-12-19 22:04","1007.1","2020-12-19 14:22","21.4","23.6","2020-12-19 09:35","19.0","2020-12-19 23:06","...","76","68","2020-12-19 14:04","3.4","66","16.0","89","2020-12-19 20:11","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1009.8","...","1011.8","2020-12-20 08:49","1007.9","2020-12-20 14:47","20.1","22.2","2020-12-20 11:37","19.0","2020-12-20 04:48","...","74","66","2020-12-20 09:16","4.0","63","16.5","38","2020-12-20 22:13","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1008.7","...","1010.6","2020-12-21 09:06","1007.4","2020-12-21 14:47","18.8","19.8","2020-12-21 00:30","17.6","2020-12-21 16:57","...","82","73","2020-12-21 02:04","4.0","66","16.3","38","2020-12-21 00:31","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1007.1","...","1009.3","2020-12-22 09:45","1005.4","2020-12-22 14:16","20.4","21.5","2020-12-22 22:53","18.9","2020-12-22 01:32","...","80","74","2020-12-22 02:52","3.3","69","13.7","103","2020-12-22 21:38","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1004.5","...","1007.3","2020-12-23 08:53","1002.1","2020-12-23 16:44","21.7","23.9","2020-12-23 13:04","20.1","2020-12-23 06:07","...","85","74","2020-12-23 13:07","2.3","68","12.1","33","2020-12-23 01:48","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1003.6","...","1006.2","2020-12-24 21:49","1002.0","2020-12-24 03:52","21.6","25.3","2020-12-24 10:26","19.8","2020-12-24 23:37","...","89","77","2020-12-24 10:28","1.6","69","8.8","52","2020-12-24 21:37","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
