"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1000.1","...","1001.5","2021-09-01 21:51","998.0","2021-09-01 15:01","27.0","37.0","2021-09-01 14:56","24.2","2021-09-01 04:42","...","88","56","2021-09-01 14:56","0.5","2","5.2","247","2021-09-01 15:17","7.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","998.9","...","1001.0","2021-09-02 00:01","996.5","2021-09-02 15:12","27.2","34.6","2021-09-02 13:51","22.5","2021-09-02 23:29","...","84","58","2021-09-02 13:41","0.8","333","7.2","70","2021-09-02 17:53","27.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","997.7","...","999.5","2021-09-03 00:01","995.5","2021-09-03 14:41","25.9","35.0","2021-09-03 12:31","22.2","2021-09-03 05:06","...","85","51","2021-09-03 12:35","0.7","70","5.4","150","2021-09-03 16:01","26.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","998.5","...","1000.1","2021-09-04 22:44","996.3","2021-09-04 14:54","26.9","35.1","2021-09-04 13:08","22.2","2021-09-04 02:51","...","85","55","2021-09-04 12:54","0.8","8","6.6","3","2021-09-04 14:54","8.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","999.4","...","1002.5","2021-09-05 22:11","997.2","2021-09-05 15:03","27.2","35.6","2021-09-05 13:04","23.2","2021-09-05 04:52","...","84","50","2021-09-05 13:01","0.8","43","4.3","263","2021-09-05 15:45","9.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1000.3","...","1002.1","2021-09-06 21:41","998.6","2021-09-06 15:33","27.4","36.2","2021-09-06 13:34","23.0","2021-09-06 05:21","...","84","50","2021-09-06 13:34","0.9","347","6.5","340","2021-09-06 12:00","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","999.9","...","1001.5","2021-09-07 00:05","998.0","2021-09-07 15:52","28.2","36.1","2021-09-07 13:31","24.0","2021-09-07 05:42","...","83","51","2021-09-07 13:31","0.7","7","4.4","321","2021-09-07 16:42","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","998.6","...","1000.5","2021-09-08 00:01","996.7","2021-09-08 15:02","28.2","35.5","2021-09-08 14:02","24.2","2021-09-08 05:41","...","84","55","2021-09-08 14:05","0.6","344","5.2","306","2021-09-08 13:39","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","998.6","...","999.7","2021-09-09 09:04","997.1","2021-09-09 15:14","29.0","35.5","2021-09-09 13:13","24.6","2021-09-09 05:04","...","81","56","2021-09-09 11:33","0.7","219","4.6","337","2021-09-09 14:24","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
