"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","996.8","...","998.2","2021-08-01 00:05","995.0","2021-08-01 16:01","26.9","30.4","2021-08-01 14:55","24.6","2021-08-01 07:04","...","94","82","2021-08-01 14:55","1.9","114","9.1","249","2021-08-01 15:23","173.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","996.3","...","997.5","2021-08-02 21:33","995.3","2021-08-02 16:13","26.9","28.5","2021-08-02 09:52","25.3","2021-08-02 13:57","...","93","87","2021-08-02 20:55","1.8","105","7.4","289","2021-08-02 13:43","57.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","997.0","...","999.0","2021-08-03 23:51","995.2","2021-08-03 04:06","28.4","32.1","2021-08-03 12:31","25.6","2021-08-03 02:42","...","87","68","2021-08-03 12:31","1.9","142","9.1","239","2021-08-03 15:53","3.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","997.1","...","999.0","2021-08-04 00:02","995.1","2021-08-04 18:23","27.5","31.1","2021-08-04 12:42","25.8","2021-08-04 06:32","...","89","74","2021-08-04 12:42","3.2","140","11.4","210","2021-08-04 12:58","29.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","996.6","...","998.5","2021-08-05 22:13","994.6","2021-08-05 04:26","27.1","28.4","2021-08-05 00:51","26.0","2021-08-05 08:16","...","92","81","2021-08-05 00:55","3.5","145","11.8","155","2021-08-05 01:37","51.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","995.7","...","997.3","2021-08-06 00:01","994.0","2021-08-06 04:45","27.9","29.3","2021-08-06 07:08","25.7","2021-08-06 10:37","...","92","84","2021-08-06 07:13","3.4","182","18.1","227","2021-08-06 10:32","76.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","998.3","...","1002.1","2021-08-07 22:55","994.2","2021-08-07 03:21","27.7","28.5","2021-08-07 03:41","25.7","2021-08-07 06:57","...","95","90","2021-08-07 13:23","3.9","253","15.0","228","2021-08-07 08:11","72.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1003.6","...","1006.2","2021-08-08 23:51","1001.0","2021-08-08 02:18","27.3","29.4","2021-08-08 12:21","25.5","2021-08-08 19:11","...","94","82","2021-08-08 13:32","1.4","112","8.5","123","2021-08-08 18:44","70.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1005.2","...","1006.8","2021-08-09 09:51","1003.5","2021-08-09 17:31","27.5","30.4","2021-08-09 15:22","25.5","2021-08-09 00:33","...","92","77","2021-08-09 16:01","1.6","129","6.9","308","2021-08-09 11:00","57.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1005.7","...","1007.3","2021-08-10 22:25","1004.1","2021-08-10 17:21","28.5","32.0","2021-08-10 10:52","26.7","2021-08-10 05:01","...","83","69","2021-08-10 10:01","1.8","37","11.8","183","2021-08-10 12:30","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1007.4","...","1008.8","2021-08-11 21:21","1005.8","2021-08-11 16:32","28.9","32.1","2021-08-11 12:53","26.6","2021-08-11 01:49","...","83","66","2021-08-11 12:35","1.9","125","7.7","234","2021-08-11 12:57","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1007.9","...","1010.0","2021-08-12 08:41","1005.7","2021-08-12 15:12","28.6","31.3","2021-08-12 11:46","24.5","2021-08-12 06:52","...","82","68","2021-08-12 14:12","2.0","236","8.5","245","2021-08-12 06:14","41.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
